Yıl,Ay,Gün,Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024,Ocak,29,2024-01-29,Restoran,277.52,Market,Migros
2024,Ocak,30,2024-01-30,Ulaşım,43.57,Ulaşım,Otobüs
2024,Ocak,29,2024-01-29,Ulaşım,243.63,ATM,ATM Çekimi
2024,Ocak,6,2024-01-06,Fatura Ödemesi,114.83,Market,Carrefour
2024,Ocak,19,2024-01-19,Alışveriş,239.88,Restoran,Kebapçı
2024,Ocak,25,2024-01-25,Restoran,311.54,Fatura Ödemesi,Su
2024,Ocak,3,2024-01-03,Ulaşım,406.85,Ulaşım,Taksi
2024,Ocak,18,2024-01-18,Restoran,100.24,Fatura Ödemesi,İnternet
2024,Ocak,12,2024-01-12,ATM Çekimi,455.72,Ulaşım,Taksi
2024,Ocak,20,2024-01-20,Alışveriş,53.31,Restoran,Cafe
2024,Ocak,4,2024-01-04,Restoran,431.0,Fatura Ödemesi,Elektrik
2024,Ocak,30,2024-01-30,Ulaşım,276.55,Market,Migros
2024,Ocak,15,2024-01-15,Alışveriş,57.12,ATM,ATM Çekimi
2024,Ocak,10,2024-01-10,Restoran,473.63,Restoran,Kebapçı
2024,Ocak,30,2024-01-30,Ulaşım,350.31,ATM,ATM Çekimi
2024,Ocak,3,2024-01-03,Alışveriş,471.53,Restoran,Pizza
2024,Ocak,4,2024-01-04,Fatura Ödemesi,194.53,Ulaşım,Tren
2024,Ocak,9,2024-01-09,Fatura Ödemesi,175.98,Fatura Ödemesi,Elektrik
2024,Ocak,14,2024-01-14,Ulaşım,126.98,Restoran,Cafe
2024,Ocak,5,2024-01-05,ATM Çekimi,418.97,Market,Migros
2024,Ocak,21,2024-01-21,Ulaşım,363.68,ATM,ATM Çekimi
2024,Ocak,3,2024-01-03,Alışveriş,302.12,Ulaşım,Taksi
2024,Ocak,11,2024-01-11,Fatura Ödemesi,369.3,ATM,ATM Çekimi
2024,Ocak,23,2024-01-23,Fatura Ödemesi,368.65,ATM,ATM Çekimi
2024,Ocak,9,2024-01-09,Fatura Ödemesi,100.92,Fatura Ödemesi,İnternet
2024,Ocak,27,2024-01-27,Restoran,306.53,Restoran,Cafe
2024,Ocak,2,2024-01-02,Alışveriş,125.46,Fatura Ödemesi,Su
2024,Ocak,24,2024-01-24,Ulaşım,176.98,Market,Carrefour
2024,Ocak,25,2024-01-25,ATM Çekimi,357.7,Restoran,Kebapçı
2024,Ocak,27,2024-01-27,Ulaşım,269.38,Ulaşım,Taksi
2024,Ocak,16,2024-01-16,ATM Çekimi,52.46,Market,Carrefour
2024,Ocak,1,2024-01-01,ATM Çekimi,442.04,Fatura Ödemesi,Elektrik
2024,Ocak,9,2024-01-09,Alışveriş,85.51,ATM,ATM Çekimi
2024,Ocak,16,2024-01-16,Fatura Ödemesi,335.73,Fatura Ödemesi,İnternet
2024,Ocak,22,2024-01-22,Alışveriş,399.87,Market,BIM
2024,Ocak,23,2024-01-23,ATM Çekimi,65.06,ATM,ATM Çekimi
2024,Ocak,11,2024-01-11,Restoran,345.41,Fatura Ödemesi,Elektrik
2024,Ocak,5,2024-01-05,Alışveriş,213.96,Restoran,Kebapçı
2024,Ocak,5,2024-01-05,ATM Çekimi,485.64,Restoran,Cafe
2024,Ocak,28,2024-01-28,Ulaşım,123.23,Ulaşım,Otobüs
2024,Ocak,26,2024-01-26,Ulaşım,230.28,Fatura Ödemesi,Su
2024,Ocak,7,2024-01-07,ATM Çekimi,21.17,ATM,ATM Çekimi
2024,Ocak,4,2024-01-04,ATM Çekimi,81.22,Fatura Ödemesi,İnternet
2024,Ocak,24,2024-01-24,Ulaşım,206.3,Market,Migros
2024,Ocak,25,2024-01-25,ATM Çekimi,202.45,Ulaşım,Otobüs
2024,Ocak,19,2024-01-19,Ulaşım,363.38,Fatura Ödemesi,İnternet
2024,Ocak,25,2024-01-25,Alışveriş,428.28,Fatura Ödemesi,Elektrik
2024,Ocak,1,2024-01-01,Restoran,143.65,ATM,ATM Çekimi
2024,Ocak,5,2024-01-05,Alışveriş,434.33,Ulaşım,Tren
2024,Ocak,3,2024-01-03,Fatura Ödemesi,264.94,Market,Carrefour
2024,Ocak,1,2024-01-01,ATM Çekimi,135.98,ATM,ATM Çekimi
2024,Ocak,26,2024-01-26,ATM Çekimi,287.94,Ulaşım,Taksi
2024,Ocak,27,2024-01-27,ATM Çekimi,220.64,Fatura Ödemesi,İnternet
2024,Ocak,17,2024-01-17,Restoran,149.31,ATM,ATM Çekimi
2024,Ocak,8,2024-01-08,Ulaşım,259.48,Restoran,Cafe
2024,Ocak,7,2024-01-07,Restoran,139.64,Restoran,Pizza
2024,Ocak,16,2024-01-16,Ulaşım,184.49,Restoran,Kebapçı
2024,Ocak,21,2024-01-21,Fatura Ödemesi,203.39,ATM,ATM Çekimi
2024,Ocak,31,2024-01-31,Restoran,432.04,ATM,ATM Çekimi
2024,Ocak,1,2024-01-01,Alışveriş,142.48,Market,Migros
2024,Ocak,3,2024-01-03,Ulaşım,371.51,Restoran,Cafe
2024,Ocak,26,2024-01-26,Ulaşım,475.31,ATM,ATM Çekimi
2024,Ocak,15,2024-01-15,Alışveriş,234.93,ATM,ATM Çekimi
2024,Ocak,26,2024-01-26,Fatura Ödemesi,137.34,ATM,ATM Çekimi
2024,Ocak,28,2024-01-28,Ulaşım,395.26,Market,BIM
2024,Ocak,22,2024-01-22,Fatura Ödemesi,206.29,ATM,ATM Çekimi
2024,Ocak,7,2024-01-07,ATM Çekimi,253.46,ATM,ATM Çekimi
2024,Ocak,24,2024-01-24,ATM Çekimi,151.85,Market,BIM
2024,Ocak,13,2024-01-13,Alışveriş,106.19,ATM,ATM Çekimi
2024,Ocak,3,2024-01-03,Ulaşım,125.67,Ulaşım,Tren
2024,Ocak,9,2024-01-09,Alışveriş,232.76,ATM,ATM Çekimi
2024,Ocak,22,2024-01-22,Alışveriş,403.12,Restoran,Cafe
2024,Ocak,10,2024-01-10,Fatura Ödemesi,206.54,Market,Migros
2024,Ocak,3,2024-01-03,Ulaşım,293.12,Market,Migros
2024,Ocak,5,2024-01-05,Alışveriş,479.11,Market,BIM
2024,Ocak,12,2024-01-12,ATM Çekimi,367.77,ATM,ATM Çekimi
2024,Ocak,23,2024-01-23,Ulaşım,35.04,Restoran,Pizza
2024,Ocak,24,2024-01-24,Alışveriş,433.01,Restoran,Pizza
2024,Ocak,10,2024-01-10,Ulaşım,335.84,Ulaşım,Taksi
2024,Ocak,13,2024-01-13,Alışveriş,160.71,Restoran,Pizza
2024,Ocak,13,2024-01-13,Fatura Ödemesi,336.25,ATM,ATM Çekimi
2024,Ocak,28,2024-01-28,Fatura Ödemesi,477.67,Fatura Ödemesi,Elektrik
2024,Ocak,9,2024-01-09,Restoran,302.34,Restoran,Cafe
2024,Ocak,13,2024-01-13,Restoran,421.96,Ulaşım,Otobüs
2024,Ocak,21,2024-01-21,Ulaşım,298.19,Market,Carrefour
2024,Ocak,9,2024-01-09,Fatura Ödemesi,308.36,Restoran,Cafe
2024,Ocak,14,2024-01-14,Alışveriş,425.71,Fatura Ödemesi,Su
2024,Ocak,7,2024-01-07,ATM Çekimi,468.78,Restoran,Cafe
2024,Ocak,25,2024-01-25,Ulaşım,448.88,Restoran,Pizza
2024,Ocak,18,2024-01-18,Alışveriş,95.34,ATM,ATM Çekimi
2024,Ocak,10,2024-01-10,Ulaşım,466.96,Restoran,Kebapçı
2024,Ocak,28,2024-01-28,Fatura Ödemesi,429.67,Market,BIM
2024,Ocak,3,2024-01-03,ATM Çekimi,332.24,Ulaşım,Otobüs
2024,Ocak,19,2024-01-19,Alışveriş,209.2,ATM,ATM Çekimi
2024,Ocak,13,2024-01-13,Alışveriş,127.19,Ulaşım,Taksi
2024,Ocak,8,2024-01-08,Ulaşım,310.52,ATM,ATM Çekimi
2024,Ocak,10,2024-01-10,ATM Çekimi,140.76,ATM,ATM Çekimi
2024,Ocak,7,2024-01-07,Restoran,355.83,ATM,ATM Çekimi
2024,Ocak,30,2024-01-30,Alışveriş,59.07,Restoran,Cafe
2024,Ocak,5,2024-01-05,Alışveriş,99.64,Market,Carrefour
2024,Ocak,7,2024-01-07,Alışveriş,133.03,ATM,ATM Çekimi
2024,Ocak,2,2024-01-02,ATM Çekimi,429.92,Market,Migros
2024,Ocak,11,2024-01-11,Fatura Ödemesi,225.67,Market,Carrefour
2024,Ocak,22,2024-01-22,ATM Çekimi,460.56,ATM,ATM Çekimi
2024,Ocak,19,2024-01-19,Fatura Ödemesi,153.74,Fatura Ödemesi,Su
2024,Ocak,12,2024-01-12,Restoran,414.95,Restoran,Cafe
2024,Ocak,8,2024-01-08,Ulaşım,201.73,Market,Carrefour
2024,Ocak,4,2024-01-04,Alışveriş,29.02,Fatura Ödemesi,İnternet
2024,Ocak,7,2024-01-07,Restoran,242.83,Restoran,Cafe
2024,Ocak,3,2024-01-03,ATM Çekimi,378.36,Ulaşım,Tren
2024,Ocak,19,2024-01-19,ATM Çekimi,38.91,Fatura Ödemesi,Su
2024,Ocak,9,2024-01-09,Ulaşım,362.81,Restoran,Cafe
2024,Ocak,3,2024-01-03,Ulaşım,303.83,ATM,ATM Çekimi
2024,Ocak,4,2024-01-04,Restoran,287.28,Ulaşım,Otobüs
2024,Ocak,24,2024-01-24,Ulaşım,29.9,Fatura Ödemesi,Elektrik
2024,Ocak,19,2024-01-19,Ulaşım,498.37,Fatura Ödemesi,İnternet
2024,Ocak,30,2024-01-30,Alışveriş,208.57,ATM,ATM Çekimi
2024,Ocak,7,2024-01-07,ATM Çekimi,146.07,Market,BIM
2024,Ocak,3,2024-01-03,Fatura Ödemesi,415.62,ATM,ATM Çekimi
2024,Ocak,18,2024-01-18,Ulaşım,135.05,Market,BIM
2024,Ocak,19,2024-01-19,Fatura Ödemesi,282.42,Fatura Ödemesi,Su
2024,Ocak,2,2024-01-02,Ulaşım,207.45,ATM,ATM Çekimi
2024,Ocak,24,2024-01-24,Alışveriş,494.77,Fatura Ödemesi,İnternet
2024,Ocak,4,2024-01-04,Alışveriş,176.82,Ulaşım,Taksi
2024,Ocak,20,2024-01-20,Fatura Ödemesi,235.43,ATM,ATM Çekimi
2024,Ocak,19,2024-01-19,Restoran,91.91,Market,BIM
2024,Ocak,15,2024-01-15,ATM Çekimi,424.52,Market,Migros
2024,Ocak,27,2024-01-27,Fatura Ödemesi,190.69,ATM,ATM Çekimi
2024,Ocak,1,2024-01-01,Ulaşım,484.93,Ulaşım,Taksi
2024,Ocak,28,2024-01-28,Alışveriş,263.94,ATM,ATM Çekimi
2024,Ocak,13,2024-01-13,Alışveriş,240.09,Ulaşım,Tren
2024,Ocak,29,2024-01-29,ATM Çekimi,295.97,Ulaşım,Taksi
2024,Ocak,28,2024-01-28,Alışveriş,53.33,Restoran,Kebapçı
2024,Ocak,3,2024-01-03,Ulaşım,124.13,Fatura Ödemesi,Su
2024,Ocak,27,2024-01-27,Ulaşım,59.58,ATM,ATM Çekimi
2024,Ocak,4,2024-01-04,ATM Çekimi,281.31,Ulaşım,Tren
2024,Ocak,12,2024-01-12,Ulaşım,261.23,Market,Carrefour
2024,Ocak,12,2024-01-12,Fatura Ödemesi,34.77,Restoran,Cafe
2024,Ocak,30,2024-01-30,Fatura Ödemesi,194.88,Ulaşım,Tren
2024,Ocak,31,2024-01-31,ATM Çekimi,197.19,Fatura Ödemesi,Elektrik
2024,Ocak,10,2024-01-10,ATM Çekimi,254.51,Restoran,Cafe
2024,Ocak,22,2024-01-22,Fatura Ödemesi,199.11,Restoran,Cafe
2024,Ocak,6,2024-01-06,Ulaşım,165.66,Restoran,Pizza
2024,Ocak,29,2024-01-29,Ulaşım,230.01,Restoran,Cafe
2024,Ocak,25,2024-01-25,Ulaşım,397.31,Market,BIM
2024,Ocak,10,2024-01-10,Restoran,492.0,Fatura Ödemesi,Elektrik
2024,Ocak,4,2024-01-04,ATM Çekimi,316.49,Fatura Ödemesi,Su
2024,Ocak,25,2024-01-25,Alışveriş,96.22,Restoran,Cafe
2024,Ocak,6,2024-01-06,Alışveriş,87.51,Restoran,Cafe
2024,Ocak,5,2024-01-05,ATM Çekimi,293.25,Market,Carrefour
2024,Ocak,30,2024-01-30,Ulaşım,371.82,Market,Carrefour
2024,Ocak,20,2024-01-20,ATM Çekimi,49.77,Market,Carrefour
2024,Ocak,8,2024-01-08,Ulaşım,101.91,ATM,ATM Çekimi
2024,Ocak,5,2024-01-05,Alışveriş,123.12,Restoran,Kebapçı
2024,Ocak,23,2024-01-23,ATM Çekimi,459.67,Restoran,Cafe
2024,Ocak,17,2024-01-17,ATM Çekimi,292.31,Ulaşım,Taksi
2024,Ocak,8,2024-01-08,Ulaşım,29.24,Ulaşım,Tren
2024,Ocak,6,2024-01-06,Alışveriş,269.26,Restoran,Cafe
2024,Ocak,6,2024-01-06,Alışveriş,94.58,Restoran,Cafe
2024,Ocak,16,2024-01-16,Restoran,281.23,Fatura Ödemesi,Elektrik
2024,Ocak,10,2024-01-10,Fatura Ödemesi,198.23,Market,Carrefour
2024,Ocak,28,2024-01-28,Alışveriş,428.19,ATM,ATM Çekimi
2024,Ocak,11,2024-01-11,Restoran,270.94,Fatura Ödemesi,Su
2024,Ocak,10,2024-01-10,Ulaşım,264.66,Restoran,Kebapçı
2024,Ocak,20,2024-01-20,Fatura Ödemesi,315.14,Restoran,Pizza
2024,Ocak,12,2024-01-12,Alışveriş,81.45,ATM,ATM Çekimi
2024,Ocak,7,2024-01-07,Alışveriş,198.91,Fatura Ödemesi,İnternet
2024,Ocak,16,2024-01-16,ATM Çekimi,147.95,Fatura Ödemesi,İnternet
2024,Ocak,1,2024-01-01,Ulaşım,254.88,ATM,ATM Çekimi
2024,Ocak,31,2024-01-31,ATM Çekimi,182.94,Ulaşım,Taksi
2024,Ocak,26,2024-01-26,Alışveriş,485.51,Ulaşım,Tren
2024,Ocak,29,2024-01-29,Ulaşım,280.62,ATM,ATM Çekimi
2024,Ocak,29,2024-01-29,Fatura Ödemesi,353.3,Fatura Ödemesi,Elektrik
2024,Ocak,30,2024-01-30,Ulaşım,455.25,Restoran,Pizza
2024,Ocak,5,2024-01-05,Alışveriş,203.04,Market,Migros
2024,Ocak,21,2024-01-21,Restoran,70.41,Restoran,Cafe
2024,Ocak,14,2024-01-14,Restoran,59.82,Ulaşım,Otobüs
2024,Ocak,29,2024-01-29,Restoran,486.45,Market,Carrefour
2024,Ocak,22,2024-01-22,Alışveriş,469.41,Ulaşım,Taksi
2024,Ocak,14,2024-01-14,Fatura Ödemesi,252.48,ATM,ATM Çekimi
2024,Ocak,4,2024-01-04,ATM Çekimi,235.64,Market,Migros
2024,Ocak,12,2024-01-12,Alışveriş,495.62,ATM,ATM Çekimi
2024,Ocak,2,2024-01-02,Restoran,58.94,Market,BIM
2024,Ocak,2,2024-01-02,Restoran,155.6,Fatura Ödemesi,İnternet
2024,Ocak,25,2024-01-25,Ulaşım,283.87,ATM,ATM Çekimi
2024,Ocak,10,2024-01-10,Ulaşım,346.76,Market,BIM
2024,Ocak,16,2024-01-16,ATM Çekimi,244.8,ATM,ATM Çekimi
2024,Ocak,18,2024-01-18,Restoran,353.9,ATM,ATM Çekimi
2024,Ocak,22,2024-01-22,Restoran,312.56,ATM,ATM Çekimi
2024,Ocak,14,2024-01-14,Fatura Ödemesi,423.49,Fatura Ödemesi,Su
2024,Ocak,29,2024-01-29,Alışveriş,188.36,Ulaşım,Tren
2024,Ocak,8,2024-01-08,Ulaşım,155.14,Fatura Ödemesi,İnternet
2024,Ocak,23,2024-01-23,Fatura Ödemesi,144.91,Ulaşım,Taksi
2024,Ocak,4,2024-01-04,ATM Çekimi,494.03,Ulaşım,Tren
2024,Ocak,22,2024-01-22,Fatura Ödemesi,210.01,Ulaşım,Taksi
2024,Ocak,4,2024-01-04,ATM Çekimi,375.96,Fatura Ödemesi,Su
2024,Ocak,8,2024-01-08,Fatura Ödemesi,239.27,Market,Migros
2024,Ocak,21,2024-01-21,ATM Çekimi,382.14,ATM,ATM Çekimi
2024,Ocak,12,2024-01-12,Alışveriş,36.19,Market,BIM
2024,Ocak,30,2024-01-30,Alışveriş,174.39,Ulaşım,Tren
2024,Ocak,2,2024-01-02,Ulaşım,157.36,Fatura Ödemesi,İnternet
2024,Ocak,19,2024-01-19,ATM Çekimi,94.44,Market,BIM
2024,Ocak,24,2024-01-24,Ulaşım,202.98,Ulaşım,Tren
2024,Ocak,30,2024-01-30,ATM Çekimi,342.28,Restoran,Kebapçı
2024,Ocak,11,2024-01-11,Restoran,222.23,Market,BIM
2024,Ocak,28,2024-01-28,Fatura Ödemesi,237.36,Market,Migros
2024,Ocak,27,2024-01-27,ATM Çekimi,494.0,Market,BIM
2024,Ocak,29,2024-01-29,Alışveriş,332.04,Restoran,Pizza
2024,Ocak,13,2024-01-13,Restoran,140.69,Ulaşım,Taksi
2024,Ocak,16,2024-01-16,Ulaşım,173.0,ATM,ATM Çekimi
2024,Ocak,23,2024-01-23,Ulaşım,485.92,Ulaşım,Otobüs
2024,Ocak,11,2024-01-11,Restoran,403.12,Fatura Ödemesi,Su
2024,Ocak,10,2024-01-10,Ulaşım,212.73,Fatura Ödemesi,Elektrik
2024,Ocak,27,2024-01-27,Ulaşım,211.94,Ulaşım,Taksi
2024,Ocak,21,2024-01-21,Restoran,260.32,Restoran,Kebapçı
2024,Ocak,16,2024-01-16,Ulaşım,210.82,ATM,ATM Çekimi
2024,Ocak,17,2024-01-17,Alışveriş,246.03,Fatura Ödemesi,İnternet
2024,Ocak,14,2024-01-14,Restoran,204.88,Restoran,Pizza
2024,Ocak,8,2024-01-08,Ulaşım,448.84,Market,BIM
2024,Ocak,23,2024-01-23,Alışveriş,92.82,Fatura Ödemesi,Su
2024,Ocak,3,2024-01-03,Restoran,330.31,ATM,ATM Çekimi
2024,Ocak,7,2024-01-07,Ulaşım,389.87,Restoran,Kebapçı
2024,Ocak,27,2024-01-27,Alışveriş,43.05,Fatura Ödemesi,Su
2024,Ocak,26,2024-01-26,Restoran,417.2,Market,BIM
2024,Ocak,11,2024-01-11,Restoran,285.53,Market,Carrefour
2024,Ocak,3,2024-01-03,Alışveriş,137.7,Restoran,Cafe
2024,Ocak,27,2024-01-27,ATM Çekimi,315.66,Market,BIM
2024,Ocak,22,2024-01-22,Ulaşım,349.94,Fatura Ödemesi,Su
2024,Ocak,14,2024-01-14,ATM Çekimi,134.77,Restoran,Cafe
2024,Ocak,3,2024-01-03,ATM Çekimi,127.44,Market,Carrefour
2024,Ocak,19,2024-01-19,Fatura Ödemesi,455.08,ATM,ATM Çekimi
2024,Ocak,17,2024-01-17,ATM Çekimi,34.98,Ulaşım,Otobüs
2024,Ocak,18,2024-01-18,Alışveriş,298.06,Restoran,Kebapçı
2024,Ocak,21,2024-01-21,Alışveriş,305.41,ATM,ATM Çekimi
2024,Ocak,28,2024-01-28,Alışveriş,365.14,Ulaşım,Tren
2024,Ocak,7,2024-01-07,Fatura Ödemesi,294.12,Fatura Ödemesi,Su
2024,Ocak,31,2024-01-31,ATM Çekimi,11.42,ATM,ATM Çekimi
2024,Ocak,15,2024-01-15,Ulaşım,11.48,Restoran,Kebapçı
2024,Ocak,4,2024-01-04,ATM Çekimi,301.25,Market,Carrefour
2024,Ocak,3,2024-01-03,Alışveriş,61.84,Fatura Ödemesi,İnternet
2024,Ocak,24,2024-01-24,Alışveriş,28.1,Restoran,Kebapçı
2024,Ocak,5,2024-01-05,Restoran,124.71,Ulaşım,Tren
2024,Ocak,20,2024-01-20,Fatura Ödemesi,443.1,Fatura Ödemesi,Elektrik
2024,Ocak,30,2024-01-30,Ulaşım,322.16,Restoran,Pizza
2024,Ocak,27,2024-01-27,Fatura Ödemesi,37.39,Fatura Ödemesi,İnternet
2024,Ocak,9,2024-01-09,Ulaşım,115.52,ATM,ATM Çekimi
2024,Ocak,1,2024-01-01,Ulaşım,293.09,Ulaşım,Otobüs
2024,Ocak,13,2024-01-13,Restoran,205.63,Fatura Ödemesi,İnternet
2024,Ocak,9,2024-01-09,Alışveriş,391.72,ATM,ATM Çekimi
2024,Ocak,13,2024-01-13,ATM Çekimi,45.53,Market,Migros
2024,Ocak,23,2024-01-23,ATM Çekimi,380.66,ATM,ATM Çekimi
2024,Ocak,12,2024-01-12,ATM Çekimi,388.28,Fatura Ödemesi,Elektrik
2024,Ocak,27,2024-01-27,Ulaşım,484.03,Fatura Ödemesi,İnternet
2024,Ocak,22,2024-01-22,ATM Çekimi,14.35,Fatura Ödemesi,İnternet
2024,Ocak,6,2024-01-06,Ulaşım,463.87,Fatura Ödemesi,Elektrik
2024,Ocak,15,2024-01-15,ATM Çekimi,351.6,Restoran,Cafe
2024,Ocak,29,2024-01-29,Restoran,334.89,Restoran,Pizza
2024,Ocak,13,2024-01-13,Restoran,310.06,Market,Carrefour
2024,Ocak,28,2024-01-28,Fatura Ödemesi,363.7,Fatura Ödemesi,Elektrik
2024,Ocak,5,2024-01-05,Restoran,15.18,ATM,ATM Çekimi
2024,Ocak,18,2024-01-18,Ulaşım,12.59,Restoran,Cafe
2024,Ocak,6,2024-01-06,Alışveriş,399.19,Market,BIM
2024,Ocak,29,2024-01-29,Fatura Ödemesi,105.46,ATM,ATM Çekimi
2024,Ocak,25,2024-01-25,Alışveriş,459.74,Restoran,Pizza
2024,Ocak,31,2024-01-31,Restoran,424.11,Fatura Ödemesi,İnternet
2024,Ocak,30,2024-01-30,Alışveriş,361.6,Ulaşım,Taksi
2024,Ocak,13,2024-01-13,Alışveriş,285.5,Ulaşım,Otobüs
2024,Ocak,2,2024-01-02,ATM Çekimi,463.4,Ulaşım,Taksi
2024,Ocak,30,2024-01-30,ATM Çekimi,92.62,Ulaşım,Otobüs
2024,Ocak,23,2024-01-23,Alışveriş,373.56,Restoran,Cafe
2024,Ocak,15,2024-01-15,Restoran,365.27,Restoran,Pizza
2024,Ocak,17,2024-01-17,Alışveriş,42.96,Restoran,Cafe
2024,Ocak,24,2024-01-24,Alışveriş,268.53,Restoran,Cafe
2024,Ocak,24,2024-01-24,ATM Çekimi,417.61,Market,Migros
2024,Ocak,25,2024-01-25,ATM Çekimi,122.1,Fatura Ödemesi,Elektrik
2024,Ocak,27,2024-01-27,Fatura Ödemesi,305.7,Restoran,Kebapçı
2024,Ocak,27,2024-01-27,ATM Çekimi,120.49,Fatura Ödemesi,Elektrik
2024,Ocak,18,2024-01-18,Alışveriş,235.21,ATM,ATM Çekimi
2024,Ocak,7,2024-01-07,Ulaşım,231.28,Market,Carrefour
