Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024-01-24,Ulaşım,121.93,ATM,ATM Çekimi
2024-01-08,Restoran,477.17,Ulaşım,Taksi
2024-01-14,Fatura Ödemesi,267.56,Restoran,Cafe
2024-01-28,Fatura Ödemesi,309.3,Fatura Ödemesi,Su
2024-01-17,Fatura Ödemesi,303.0,Fatura Ödemesi,İnternet
2024-01-24,ATM Çekimi,292.29,Restoran,Kebapçı
2024-01-22,Restoran,261.53,Ulaşım,Taksi
2024-01-19,Ulaşım,154.47,Market,Carrefour
2024-01-13,Restoran,422.14,Ulaşım,Taksi
2024-01-20,Alışveriş,212.01,Fatura Ödemesi,İnternet
2024-01-03,Restoran,261.73,Fatura Ödemesi,Su
2024-01-08,Alışveriş,449.31,Market,BIM
2024-01-05,Restoran,448.09,Restoran,Pizza
2024-01-02,Fatura Ödemesi,94.17,Restoran,Pizza
2024-01-22,Alışveriş,224.41,Restoran,Cafe
2024-01-28,Ulaşım,14.73,Fatura Ödemesi,Su
2024-01-28,Ulaşım,162.91,Market,Carrefour
2024-01-28,Fatura Ödemesi,420.31,Ulaşım,Tren
2024-01-01,Restoran,443.16,Restoran,Cafe
2024-01-26,ATM Çekimi,424.08,Market,BIM
2024-01-20,Alışveriş,367.08,Restoran,Cafe
2024-01-31,Fatura Ödemesi,441.42,Fatura Ödemesi,Elektrik
2024-01-21,Ulaşım,402.73,Fatura Ödemesi,İnternet
2024-01-08,Ulaşım,299.99,Ulaşım,Tren
2024-01-15,Restoran,381.73,Restoran,Kebapçı
2024-01-25,Ulaşım,124.69,Ulaşım,Tren
2024-01-19,Alışveriş,359.17,Market,Carrefour
2024-01-14,Ulaşım,442.98,Ulaşım,Otobüs
2024-01-25,Restoran,24.6,Ulaşım,Taksi
2024-01-21,Ulaşım,124.15,Market,Migros
2024-01-10,Fatura Ödemesi,289.98,Ulaşım,Otobüs
2024-01-23,Alışveriş,344.15,Restoran,Cafe
2024-01-15,Ulaşım,394.97,Fatura Ödemesi,İnternet
2024-01-27,Restoran,491.55,Ulaşım,Otobüs
2024-01-02,Fatura Ödemesi,349.46,Restoran,Cafe
2024-01-24,Restoran,70.35,Ulaşım,Taksi
2024-01-05,Fatura Ödemesi,395.74,Market,Carrefour
2024-01-28,Alışveriş,325.13,Ulaşım,Taksi
2024-01-18,Fatura Ödemesi,27.57,Restoran,Cafe
2024-01-18,Restoran,15.29,Restoran,Kebapçı
2024-01-07,Ulaşım,280.72,Restoran,Cafe
2024-01-09,ATM Çekimi,121.63,Restoran,Cafe
2024-01-24,Fatura Ödemesi,90.16,Restoran,Kebapçı
2024-01-07,Fatura Ödemesi,135.87,Fatura Ödemesi,Elektrik
2024-01-26,Alışveriş,164.38,Market,BIM
2024-01-16,Restoran,479.5,Ulaşım,Taksi
2024-01-22,Ulaşım,426.81,Restoran,Pizza
2024-01-14,Restoran,359.39,ATM,ATM Çekimi
2024-01-29,Alışveriş,325.77,Restoran,Pizza
2024-01-26,Restoran,434.67,Restoran,Cafe
2024-01-22,Fatura Ödemesi,465.6,Market,BIM
2024-01-17,Fatura Ödemesi,280.7,ATM,ATM Çekimi
2024-01-03,Alışveriş,157.0,Restoran,Kebapçı
2024-01-28,Fatura Ödemesi,131.87,Ulaşım,Tren
2024-01-15,Alışveriş,497.05,Ulaşım,Tren
2024-01-12,Ulaşım,464.59,Fatura Ödemesi,Su
2024-01-10,Fatura Ödemesi,361.12,Ulaşım,Otobüs
2024-01-19,ATM Çekimi,357.91,Restoran,Cafe
2024-01-25,Fatura Ödemesi,244.82,Ulaşım,Tren
2024-01-23,Ulaşım,329.65,Market,Migros
2024-01-22,Alışveriş,262.27,Ulaşım,Tren
2024-01-15,Restoran,229.77,Ulaşım,Taksi
2024-01-21,Fatura Ödemesi,159.56,Restoran,Kebapçı
2024-01-20,ATM Çekimi,381.26,Fatura Ödemesi,İnternet
2024-01-18,Alışveriş,117.39,Market,BIM
2024-01-05,Ulaşım,447.36,ATM,ATM Çekimi
2024-01-07,Alışveriş,350.32,Ulaşım,Otobüs
2024-01-15,Ulaşım,499.26,Ulaşım,Taksi
2024-01-11,Ulaşım,41.66,Ulaşım,Otobüs
2024-01-15,Ulaşım,356.78,Market,Carrefour
2024-01-31,Fatura Ödemesi,224.8,Ulaşım,Otobüs
2024-01-12,Alışveriş,169.38,Fatura Ödemesi,İnternet
2024-01-03,ATM Çekimi,416.59,ATM,ATM Çekimi
2024-01-13,Ulaşım,317.42,ATM,ATM Çekimi
2024-01-04,Ulaşım,432.25,Restoran,Pizza
2024-01-24,Ulaşım,340.06,Ulaşım,Taksi
2024-01-14,Fatura Ödemesi,93.49,ATM,ATM Çekimi
2024-01-09,Alışveriş,204.15,ATM,ATM Çekimi
2024-01-29,Restoran,206.92,Ulaşım,Otobüs
2024-01-12,ATM Çekimi,234.02,Restoran,Cafe
2024-01-30,Ulaşım,269.38,Market,BIM
2024-01-10,ATM Çekimi,200.81,Market,BIM
2024-01-25,Ulaşım,242.78,Ulaşım,Otobüs
2024-01-14,Restoran,434.47,Restoran,Cafe
2024-01-09,Alışveriş,81.25,ATM,ATM Çekimi
2024-01-24,Ulaşım,241.39,Fatura Ödemesi,Su
2024-01-14,Restoran,443.98,ATM,ATM Çekimi
2024-01-25,Ulaşım,189.14,ATM,ATM Çekimi
2024-01-18,ATM Çekimi,355.4,Market,Migros
2024-01-15,ATM Çekimi,11.66,Fatura Ödemesi,Su
2024-01-04,Restoran,415.95,Restoran,Kebapçı
2024-01-09,ATM Çekimi,490.39,Restoran,Kebapçı
2024-01-09,ATM Çekimi,86.44,ATM,ATM Çekimi
2024-01-11,Restoran,213.58,Market,BIM
2024-01-19,Fatura Ödemesi,149.41,ATM,ATM Çekimi
2024-01-07,Fatura Ödemesi,434.8,Restoran,Cafe
2024-01-20,ATM Çekimi,98.89,Market,Carrefour
2024-01-21,Restoran,72.3,ATM,ATM Çekimi
2024-01-21,Alışveriş,430.03,ATM,ATM Çekimi
2024-01-23,Fatura Ödemesi,316.75,ATM,ATM Çekimi
2024-01-03,ATM Çekimi,67.49,Fatura Ödemesi,İnternet
2024-01-09,ATM Çekimi,184.52,ATM,ATM Çekimi
2024-01-09,Restoran,184.06,Ulaşım,Tren
2024-01-10,Fatura Ödemesi,90.25,Fatura Ödemesi,Elektrik
2024-01-16,Fatura Ödemesi,96.31,Ulaşım,Taksi
2024-01-29,Restoran,309.24,Fatura Ödemesi,İnternet
2024-01-28,Restoran,480.69,ATM,ATM Çekimi
2024-01-09,Restoran,359.21,ATM,ATM Çekimi
2024-01-25,Fatura Ödemesi,180.71,Ulaşım,Tren
2024-01-14,Alışveriş,431.08,Fatura Ödemesi,İnternet
2024-01-03,Restoran,130.95,ATM,ATM Çekimi
2024-01-18,Ulaşım,388.13,Fatura Ödemesi,Elektrik
2024-01-21,Fatura Ödemesi,113.71,Restoran,Kebapçı
2024-01-08,Restoran,424.01,Market,BIM
2024-01-18,Restoran,376.73,Restoran,Pizza
2024-01-22,Alışveriş,216.96,ATM,ATM Çekimi
2024-01-21,ATM Çekimi,220.93,Ulaşım,Tren
2024-01-06,Ulaşım,295.6,Fatura Ödemesi,Su
2024-01-11,Fatura Ödemesi,360.6,ATM,ATM Çekimi
2024-01-30,Restoran,23.95,Fatura Ödemesi,Elektrik
2024-01-09,Ulaşım,312.39,ATM,ATM Çekimi
2024-01-04,Ulaşım,85.79,Ulaşım,Tren
2024-01-09,Alışveriş,264.67,ATM,ATM Çekimi
2024-01-11,Restoran,469.02,ATM,ATM Çekimi
2024-01-09,Fatura Ödemesi,27.04,Ulaşım,Otobüs
2024-01-28,Fatura Ödemesi,130.32,Ulaşım,Taksi
2024-01-26,Restoran,126.01,Fatura Ödemesi,Su
2024-01-01,ATM Çekimi,334.62,Market,BIM
2024-01-13,Restoran,68.43,ATM,ATM Çekimi
2024-01-28,Alışveriş,366.61,Ulaşım,Taksi
2024-01-09,Restoran,83.61,Fatura Ödemesi,İnternet
2024-01-29,Fatura Ödemesi,53.12,ATM,ATM Çekimi
2024-01-14,Restoran,40.99,Restoran,Kebapçı
2024-01-19,Restoran,484.64,Ulaşım,Otobüs
2024-01-20,Alışveriş,29.11,Ulaşım,Taksi
2024-01-15,Ulaşım,44.26,Ulaşım,Otobüs
2024-01-12,ATM Çekimi,228.05,Fatura Ödemesi,Elektrik
2024-01-23,Restoran,359.24,Market,BIM
2024-01-17,Ulaşım,454.45,Fatura Ödemesi,Elektrik
2024-01-17,ATM Çekimi,250.19,ATM,ATM Çekimi
2024-01-10,Restoran,365.78,Restoran,Kebapçı
2024-01-29,Fatura Ödemesi,25.76,Market,Migros
2024-01-31,Alışveriş,261.24,Restoran,Kebapçı
2024-01-06,Alışveriş,213.11,Ulaşım,Otobüs
2024-01-02,Restoran,419.84,Restoran,Pizza
2024-01-17,Alışveriş,308.83,Fatura Ödemesi,Elektrik
2024-01-07,Fatura Ödemesi,71.44,Ulaşım,Otobüs
2024-01-01,Restoran,298.62,Fatura Ödemesi,Su
2024-01-18,Restoran,269.3,Ulaşım,Tren
2024-01-19,Ulaşım,137.03,Restoran,Cafe
2024-01-07,Fatura Ödemesi,141.59,Ulaşım,Otobüs
2024-01-20,Fatura Ödemesi,442.66,Market,Carrefour
2024-01-27,Restoran,80.21,Market,Carrefour
2024-01-01,ATM Çekimi,106.71,ATM,ATM Çekimi
2024-01-06,Fatura Ödemesi,337.74,ATM,ATM Çekimi
2024-01-26,Alışveriş,22.86,Market,BIM
2024-01-12,Restoran,403.05,Market,Carrefour
2024-01-03,Ulaşım,474.67,ATM,ATM Çekimi
2024-01-12,Fatura Ödemesi,247.7,ATM,ATM Çekimi
2024-01-09,Ulaşım,331.83,ATM,ATM Çekimi
2024-01-27,Fatura Ödemesi,53.47,Restoran,Cafe
2024-01-28,Fatura Ödemesi,312.07,Ulaşım,Otobüs
2024-01-30,ATM Çekimi,94.78,ATM,ATM Çekimi
2024-01-08,Ulaşım,354.38,Market,Carrefour
2024-01-02,Fatura Ödemesi,410.74,ATM,ATM Çekimi
2024-01-31,Fatura Ödemesi,68.74,Ulaşım,Tren
2024-01-10,Alışveriş,261.52,Market,Carrefour
2024-01-17,Alışveriş,463.78,ATM,ATM Çekimi
2024-01-20,Fatura Ödemesi,331.34,Ulaşım,Taksi
2024-01-28,Restoran,158.72,ATM,ATM Çekimi
2024-01-18,Restoran,234.49,ATM,ATM Çekimi
2024-01-24,Fatura Ödemesi,322.34,Restoran,Pizza
2024-01-07,Fatura Ödemesi,445.09,Ulaşım,Taksi
2024-01-13,Ulaşım,238.26,Ulaşım,Otobüs
2024-01-23,Fatura Ödemesi,304.65,ATM,ATM Çekimi
2024-01-28,Fatura Ödemesi,335.07,ATM,ATM Çekimi
2024-01-13,Restoran,76.8,ATM,ATM Çekimi
2024-01-11,Ulaşım,428.03,Ulaşım,Otobüs
2024-01-05,Ulaşım,233.05,Restoran,Cafe
2024-01-13,Fatura Ödemesi,270.63,Market,Migros
2024-01-31,ATM Çekimi,369.93,Restoran,Pizza
2024-01-04,Ulaşım,61.44,Ulaşım,Taksi
2024-01-29,Restoran,105.49,ATM,ATM Çekimi
2024-01-06,Fatura Ödemesi,80.36,Market,BIM
2024-01-21,Fatura Ödemesi,401.24,Ulaşım,Otobüs
2024-01-11,ATM Çekimi,199.99,Restoran,Cafe
2024-01-09,ATM Çekimi,24.87,Fatura Ödemesi,Elektrik
2024-01-11,Restoran,86.47,Fatura Ödemesi,Elektrik
2024-01-27,Ulaşım,103.47,Market,BIM
2024-01-30,ATM Çekimi,416.22,Fatura Ödemesi,İnternet
2024-01-20,Ulaşım,394.52,Market,Carrefour
2024-01-13,Restoran,205.33,Market,BIM
2024-01-27,Fatura Ödemesi,329.9,ATM,ATM Çekimi
2024-01-15,Restoran,394.28,Ulaşım,Taksi
2024-01-14,Restoran,370.32,Restoran,Cafe
2024-01-18,ATM Çekimi,404.52,Restoran,Kebapçı
2024-01-17,Alışveriş,485.39,Fatura Ödemesi,Elektrik
2024-01-03,Restoran,35.99,Restoran,Pizza
2024-01-07,Restoran,104.41,Restoran,Cafe
2024-01-14,Fatura Ödemesi,107.29,Ulaşım,Taksi
2024-01-09,ATM Çekimi,176.65,Market,Migros
2024-01-12,ATM Çekimi,169.38,Fatura Ödemesi,İnternet
2024-01-23,Alışveriş,151.88,Market,Carrefour
2024-01-13,Ulaşım,485.7,ATM,ATM Çekimi
2024-01-02,ATM Çekimi,433.59,ATM,ATM Çekimi
2024-01-19,Alışveriş,324.4,Restoran,Kebapçı
2024-01-07,Alışveriş,254.14,ATM,ATM Çekimi
2024-01-11,Alışveriş,251.52,Restoran,Cafe
2024-01-18,Ulaşım,440.68,Fatura Ödemesi,Elektrik
2024-01-30,Ulaşım,336.84,Ulaşım,Tren
2024-01-17,Restoran,342.5,ATM,ATM Çekimi
2024-01-18,Alışveriş,477.53,Fatura Ödemesi,Su
2024-01-29,Fatura Ödemesi,471.29,Ulaşım,Otobüs
2024-01-23,Fatura Ödemesi,420.78,ATM,ATM Çekimi
2024-01-17,Ulaşım,181.45,ATM,ATM Çekimi
2024-01-11,ATM Çekimi,112.83,Ulaşım,Otobüs
2024-01-27,Ulaşım,236.33,Ulaşım,Tren
2024-01-01,Ulaşım,67.91,ATM,ATM Çekimi
2024-01-06,Ulaşım,399.12,Restoran,Cafe
2024-01-29,Fatura Ödemesi,471.67,Ulaşım,Otobüs
2024-01-23,Restoran,465.67,ATM,ATM Çekimi
2024-01-27,Restoran,447.92,Market,Migros
2024-01-19,ATM Çekimi,83.72,Restoran,Cafe
2024-01-21,Restoran,356.84,Market,Migros
2024-01-28,Alışveriş,358.05,ATM,ATM Çekimi
2024-01-26,ATM Çekimi,205.71,ATM,ATM Çekimi
2024-01-17,Alışveriş,485.25,Fatura Ödemesi,İnternet
2024-01-11,Restoran,277.91,Market,Carrefour
2024-01-21,Fatura Ödemesi,348.97,Market,BIM
2024-01-25,Fatura Ödemesi,158.62,Fatura Ödemesi,Su
2024-01-12,Restoran,182.99,ATM,ATM Çekimi
2024-01-04,Fatura Ödemesi,44.57,Fatura Ödemesi,İnternet
2024-01-25,Restoran,240.71,Fatura Ödemesi,Su
2024-01-11,Restoran,294.53,Market,Migros
2024-01-27,Alışveriş,465.89,Market,BIM
2024-01-17,Ulaşım,413.82,Market,Migros
2024-01-12,Alışveriş,439.87,Restoran,Pizza
2024-01-30,ATM Çekimi,193.71,ATM,ATM Çekimi
2024-01-27,Alışveriş,409.49,ATM,ATM Çekimi
2024-01-28,Fatura Ödemesi,218.87,ATM,ATM Çekimi
2024-01-17,ATM Çekimi,115.06,Restoran,Kebapçı
2024-01-13,ATM Çekimi,336.98,Market,BIM
2024-01-26,Alışveriş,30.19,ATM,ATM Çekimi
2024-01-09,ATM Çekimi,15.05,Fatura Ödemesi,Elektrik
2024-01-11,Restoran,340.63,ATM,ATM Çekimi
2024-01-03,ATM Çekimi,230.67,Ulaşım,Otobüs
2024-01-26,Restoran,147.39,Ulaşım,Taksi
2024-01-05,Fatura Ödemesi,194.51,Restoran,Kebapçı
2024-01-31,Restoran,339.72,ATM,ATM Çekimi
2024-01-07,ATM Çekimi,492.83,ATM,ATM Çekimi
2024-01-22,Fatura Ödemesi,370.85,Market,Migros
2024-01-07,Alışveriş,352.76,Ulaşım,Taksi
2024-01-31,Restoran,234.86,Fatura Ödemesi,İnternet
2024-01-05,ATM Çekimi,182.12,Ulaşım,Tren
2024-01-12,Alışveriş,247.63,ATM,ATM Çekimi
2024-01-21,Alışveriş,292.12,Fatura Ödemesi,Su
2024-01-31,Restoran,464.86,Fatura Ödemesi,İnternet
2024-01-24,Ulaşım,39.58,ATM,ATM Çekimi
2024-01-25,Ulaşım,321.58,ATM,ATM Çekimi
2024-01-16,Ulaşım,139.89,Ulaşım,Otobüs
2024-01-29,Restoran,73.67,Market,Carrefour
2024-01-27,Alışveriş,265.49,Market,Carrefour
2024-01-06,Alışveriş,495.09,ATM,ATM Çekimi
2024-01-25,Restoran,266.44,Ulaşım,Taksi
2024-01-24,Restoran,219.68,ATM,ATM Çekimi
2024-01-28,Restoran,31.22,Ulaşım,Otobüs
2024-01-31,ATM Çekimi,388.64,Fatura Ödemesi,Su
2024-01-27,Ulaşım,290.06,Market,Carrefour
2024-01-09,Alışveriş,143.93,Fatura Ödemesi,Elektrik
2024-01-12,Ulaşım,385.84,Restoran,Kebapçı
2024-01-20,Ulaşım,277.33,Ulaşım,Tren
2024-01-15,Restoran,324.32,Market,Carrefour
2024-01-11,Ulaşım,494.03,Market,Carrefour
2024-01-07,ATM Çekimi,125.96,Fatura Ödemesi,Elektrik
2024-01-06,Alışveriş,320.7,ATM,ATM Çekimi
2024-01-18,Ulaşım,186.59,Fatura Ödemesi,Su
2024-01-29,ATM Çekimi,421.92,Fatura Ödemesi,İnternet
2024-01-19,Alışveriş,314.91,Restoran,Pizza
2024-01-14,Restoran,242.98,Fatura Ödemesi,Su
2024-01-06,ATM Çekimi,306.75,ATM,ATM Çekimi
2024-01-05,Fatura Ödemesi,82.84,Ulaşım,Taksi
2024-01-10,Fatura Ödemesi,244.09,Ulaşım,Taksi
2024-01-07,Fatura Ödemesi,230.84,Market,Carrefour
2024-01-26,Restoran,381.28,Restoran,Pizza
2024-01-13,Ulaşım,487.65,Fatura Ödemesi,İnternet
2024-01-03,Fatura Ödemesi,222.05,Fatura Ödemesi,Su
2024-01-01,ATM Çekimi,78.48,Fatura Ödemesi,İnternet
2024-01-01,Alışveriş,475.8,ATM,ATM Çekimi
2024-01-07,ATM Çekimi,224.23,Restoran,Pizza
2024-01-22,ATM Çekimi,397.64,ATM,ATM Çekimi
2024-01-18,Restoran,216.76,Market,Carrefour
2024-01-27,Fatura Ödemesi,60.65,ATM,ATM Çekimi
2024-01-28,Alışveriş,257.91,Restoran,Pizza
2024-01-21,Ulaşım,117.34,Restoran,Cafe
2024-01-27,Ulaşım,267.91,Ulaşım,Taksi
2024-01-01,Fatura Ödemesi,278.16,Restoran,Kebapçı
2024-01-13,Ulaşım,292.03,Market,Carrefour
2024-01-31,Fatura Ödemesi,499.71,Market,Carrefour
2024-01-15,Restoran,471.3,ATM,ATM Çekimi
2024-01-13,Alışveriş,276.53,ATM,ATM Çekimi
2024-01-03,Fatura Ödemesi,259.87,Fatura Ödemesi,Su
2024-01-02,Alışveriş,397.63,Market,Carrefour
2024-01-20,Ulaşım,133.11,Market,BIM
2024-01-27,Restoran,110.95,Fatura Ödemesi,Elektrik
2024-01-03,Restoran,207.8,Restoran,Kebapçı
2024-01-08,ATM Çekimi,288.24,Restoran,Pizza
2024-01-18,Restoran,405.05,ATM,ATM Çekimi
2024-01-24,Fatura Ödemesi,180.42,Restoran,Cafe
2024-01-28,ATM Çekimi,267.68,Ulaşım,Taksi
2024-01-27,Ulaşım,343.68,Ulaşım,Tren
2024-01-07,Ulaşım,411.2,Fatura Ödemesi,Elektrik
2024-01-22,Fatura Ödemesi,118.58,ATM,ATM Çekimi
2024-01-30,Fatura Ödemesi,59.4,Fatura Ödemesi,Su
2024-01-07,ATM Çekimi,369.33,Restoran,Kebapçı
2024-01-30,Alışveriş,342.47,Market,BIM
2024-01-08,Fatura Ödemesi,145.94,ATM,ATM Çekimi
2024-01-06,ATM Çekimi,25.7,Ulaşım,Tren
2024-01-09,Restoran,340.48,Market,Carrefour
2024-01-16,Ulaşım,268.33,ATM,ATM Çekimi
2024-01-07,Restoran,394.69,Market,Migros
2024-01-05,Fatura Ödemesi,165.23,Market,Migros
2024-01-25,Ulaşım,377.99,ATM,ATM Çekimi
2024-01-28,ATM Çekimi,188.15,Market,Migros
2024-01-28,ATM Çekimi,424.13,Ulaşım,Tren
2024-01-17,Alışveriş,496.46,Market,Migros
2024-01-20,Restoran,85.95,ATM,ATM Çekimi
2024-01-31,Alışveriş,428.25,Ulaşım,Taksi
2024-01-31,Fatura Ödemesi,63.94,Fatura Ödemesi,Su
2024-01-30,Alışveriş,324.46,Market,Carrefour
2024-01-25,Fatura Ödemesi,266.68,ATM,ATM Çekimi
2024-01-08,Fatura Ödemesi,217.17,Ulaşım,Taksi
2024-01-22,ATM Çekimi,381.94,Restoran,Kebapçı
2024-01-26,Restoran,364.01,Market,BIM
2024-01-31,Ulaşım,217.83,Restoran,Kebapçı
2024-01-03,ATM Çekimi,368.47,ATM,ATM Çekimi
2024-01-02,ATM Çekimi,104.09,Ulaşım,Tren
2024-01-25,Alışveriş,48.88,Restoran,Cafe
2024-01-17,ATM Çekimi,429.39,ATM,ATM Çekimi
2024-01-25,Ulaşım,154.54,ATM,ATM Çekimi
2024-01-10,ATM Çekimi,199.01,Fatura Ödemesi,İnternet
2024-01-10,Alışveriş,262.54,ATM,ATM Çekimi
2024-01-12,ATM Çekimi,129.14,Restoran,Cafe
2024-01-06,Ulaşım,425.03,Restoran,Cafe
2024-01-02,Ulaşım,387.12,ATM,ATM Çekimi
2024-01-21,ATM Çekimi,26.18,Ulaşım,Tren
2024-01-30,Ulaşım,169.85,Market,Carrefour
2024-01-18,Alışveriş,279.88,ATM,ATM Çekimi
2024-01-06,Ulaşım,67.16,Market,Migros
2024-01-16,ATM Çekimi,484.75,ATM,ATM Çekimi
2024-01-05,ATM Çekimi,234.59,Restoran,Kebapçı
2024-01-13,Ulaşım,320.58,Ulaşım,Tren
2024-01-01,Restoran,152.01,Restoran,Pizza
2024-01-30,Fatura Ödemesi,460.48,ATM,ATM Çekimi
2024-01-28,Alışveriş,224.02,Fatura Ödemesi,Su
2024-01-18,Restoran,324.3,ATM,ATM Çekimi
2024-01-04,Restoran,395.83,Restoran,Kebapçı
2024-01-09,Fatura Ödemesi,120.91,Restoran,Pizza
2024-01-07,Ulaşım,412.84,Market,Migros
2024-01-21,Restoran,491.83,Market,BIM
2024-01-20,Fatura Ödemesi,165.67,ATM,ATM Çekimi
2024-01-09,Alışveriş,343.72,ATM,ATM Çekimi
2024-01-24,Ulaşım,479.93,Ulaşım,Tren
2024-01-17,Fatura Ödemesi,378.87,Fatura Ödemesi,Su
2024-01-08,ATM Çekimi,333.95,ATM,ATM Çekimi
2024-01-30,Fatura Ödemesi,402.39,Fatura Ödemesi,İnternet
2024-01-01,Fatura Ödemesi,348.96,Ulaşım,Tren
2024-01-07,Fatura Ödemesi,57.62,ATM,ATM Çekimi
2024-01-21,Alışveriş,125.33,Fatura Ödemesi,İnternet
2024-01-02,Restoran,102.59,Restoran,Pizza
2024-01-10,Alışveriş,282.15,Market,Migros
2024-01-23,Alışveriş,373.73,Ulaşım,Tren
2024-01-18,Ulaşım,164.12,Ulaşım,Taksi
2024-01-22,Ulaşım,217.87,Ulaşım,Tren
2024-01-21,Ulaşım,309.56,ATM,ATM Çekimi
2024-01-19,Ulaşım,239.35,Restoran,Pizza
2024-01-17,Ulaşım,31.46,ATM,ATM Çekimi
2024-01-22,ATM Çekimi,407.01,Fatura Ödemesi,Elektrik
2024-01-04,Ulaşım,124.63,Market,BIM
2024-01-11,ATM Çekimi,125.19,Ulaşım,Tren
2024-01-25,Restoran,219.69,Fatura Ödemesi,İnternet
2024-01-25,Alışveriş,229.36,Restoran,Kebapçı
2024-01-01,Ulaşım,457.81,ATM,ATM Çekimi
2024-01-28,ATM Çekimi,419.77,Market,BIM
2024-01-10,Fatura Ödemesi,103.23,Fatura Ödemesi,Elektrik
2024-01-18,Restoran,130.03,ATM,ATM Çekimi
2024-01-14,ATM Çekimi,444.0,Fatura Ödemesi,İnternet
2024-01-16,Restoran,477.32,Ulaşım,Tren
2024-01-17,Alışveriş,378.19,ATM,ATM Çekimi
2024-01-28,Alışveriş,182.82,Restoran,Kebapçı
2024-01-28,ATM Çekimi,88.57,Restoran,Cafe
2024-01-19,Fatura Ödemesi,176.84,ATM,ATM Çekimi
2024-01-18,Fatura Ödemesi,365.13,Restoran,Pizza
2024-01-21,Fatura Ödemesi,226.5,Market,BIM
2024-01-08,ATM Çekimi,484.8,Market,Carrefour
2024-01-21,Restoran,193.59,Fatura Ödemesi,Su
2024-01-13,Alışveriş,361.82,Fatura Ödemesi,İnternet
2024-01-11,Fatura Ödemesi,311.2,Fatura Ödemesi,İnternet
2024-01-02,Restoran,348.62,Market,BIM
2024-01-29,ATM Çekimi,37.89,Ulaşım,Taksi
2024-01-06,Restoran,70.54,Restoran,Pizza
2024-01-02,Restoran,366.54,Fatura Ödemesi,Su
2024-01-26,Fatura Ödemesi,226.61,ATM,ATM Çekimi
2024-01-27,Alışveriş,461.05,Ulaşım,Tren
2024-01-31,Ulaşım,465.93,Fatura Ödemesi,Elektrik
