Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024-01-18,ATM Çekimi,375.34,ATM,ATM Çekimi
2024-01-18,Restoran,321.9,Restoran,Kebapçı
2024-01-26,ATM Çekimi,58.04,Ulaşım,Taksi
2024-01-13,Fatura Ödemesi,498.33,ATM,ATM Çekimi
2024-01-31,Restoran,233.71,ATM,ATM Çekimi
2024-01-13,Fatura Ödemesi,61.91,Ulaşım,Taksi
2024-01-22,ATM Çekimi,87.71,Fatura Ödemesi,İnternet
2024-01-14,ATM Çekimi,388.91,Market,BIM
2024-01-02,Fatura Ödemesi,209.12,Fatura Ödemesi,İnternet
2024-01-02,Fatura Ödemesi,485.53,Restoran,Kebapçı
2024-01-16,Alışveriş,266.47,Market,Carrefour
2024-01-12,Ulaşım,192.15,Ulaşım,Otobüs
2024-01-07,Fatura Ödemesi,248.39,Market,Carrefour
2024-01-24,Alışveriş,490.35,Market,Carrefour
2024-01-16,Fatura Ödemesi,134.52,ATM,ATM Çekimi
2024-01-16,Ulaşım,67.87,ATM,ATM Çekimi
2024-01-18,Alışveriş,197.71,Ulaşım,Taksi
2024-01-25,Ulaşım,136.01,Ulaşım,Taksi
2024-01-26,Alışveriş,291.71,Market,Carrefour
2024-01-11,Restoran,472.95,Fatura Ödemesi,Elektrik
2024-01-26,Ulaşım,260.48,Fatura Ödemesi,İnternet
2024-01-21,Fatura Ödemesi,437.67,Restoran,Cafe
2024-01-18,Restoran,488.63,Ulaşım,Tren
2024-01-07,Fatura Ödemesi,354.45,Market,BIM
2024-01-06,Restoran,296.71,Market,BIM
2024-01-12,Alışveriş,93.76,Restoran,Cafe
2024-01-25,Ulaşım,370.82,Restoran,Cafe
2024-01-05,Alışveriş,477.9,Market,Migros
2024-01-24,Fatura Ödemesi,92.04,Ulaşım,Taksi
2024-01-14,Fatura Ödemesi,120.85,Ulaşım,Taksi
2024-01-23,Restoran,298.76,Restoran,Kebapçı
2024-01-11,Ulaşım,27.58,Fatura Ödemesi,Elektrik
2024-01-22,ATM Çekimi,368.5,Restoran,Pizza
2024-01-24,Ulaşım,221.33,Ulaşım,Tren
2024-01-21,Alışveriş,461.5,Fatura Ödemesi,Su
2024-01-09,ATM Çekimi,310.67,Fatura Ödemesi,Su
2024-01-01,Restoran,109.7,ATM,ATM Çekimi
2024-01-05,Ulaşım,198.69,ATM,ATM Çekimi
2024-01-27,Restoran,441.4,Fatura Ödemesi,Elektrik
2024-01-25,Restoran,383.85,Ulaşım,Tren
2024-01-16,Ulaşım,252.41,Fatura Ödemesi,Elektrik
2024-01-06,ATM Çekimi,301.26,Restoran,Kebapçı
2024-01-02,Fatura Ödemesi,388.92,Ulaşım,Otobüs
2024-01-20,ATM Çekimi,401.07,ATM,ATM Çekimi
2024-01-02,Alışveriş,130.4,Ulaşım,Taksi
2024-01-04,Alışveriş,252.97,Fatura Ödemesi,Elektrik
2024-01-03,ATM Çekimi,78.27,Restoran,Kebapçı
2024-01-07,Alışveriş,211.65,Restoran,Kebapçı
2024-01-23,ATM Çekimi,405.9,Market,BIM
2024-01-06,Ulaşım,428.3,Market,Migros
2024-01-10,Restoran,366.22,Market,Migros
2024-01-21,Restoran,113.06,Fatura Ödemesi,Elektrik
2024-01-16,Ulaşım,436.07,Ulaşım,Taksi
2024-01-06,Fatura Ödemesi,391.27,Market,BIM
2024-01-28,ATM Çekimi,71.43,Fatura Ödemesi,İnternet
2024-01-25,ATM Çekimi,315.42,Ulaşım,Otobüs
2024-01-05,Restoran,386.36,Market,BIM
2024-01-26,Fatura Ödemesi,493.1,ATM,ATM Çekimi
2024-01-10,Alışveriş,199.93,Ulaşım,Tren
2024-01-11,Ulaşım,48.71,ATM,ATM Çekimi
2024-01-04,Ulaşım,448.09,Fatura Ödemesi,Su
2024-01-03,Ulaşım,149.71,Market,BIM
2024-01-13,Ulaşım,329.15,Market,BIM
2024-01-20,ATM Çekimi,143.46,Restoran,Kebapçı
2024-01-16,ATM Çekimi,77.64,Market,BIM
2024-01-15,Fatura Ödemesi,152.95,Market,Migros
2024-01-03,Restoran,497.21,Ulaşım,Taksi
2024-01-25,Alışveriş,349.33,Ulaşım,Taksi
2024-01-15,Ulaşım,439.72,Ulaşım,Tren
2024-01-27,Ulaşım,309.86,Ulaşım,Taksi
2024-01-19,Restoran,429.2,Market,Migros
2024-01-25,Alışveriş,323.76,Fatura Ödemesi,Su
2024-01-19,Fatura Ödemesi,142.08,Market,BIM
2024-01-19,Restoran,436.89,Ulaşım,Taksi
2024-01-18,ATM Çekimi,24.03,Ulaşım,Otobüs
2024-01-22,Ulaşım,323.94,Ulaşım,Taksi
2024-01-28,Ulaşım,294.29,ATM,ATM Çekimi
2024-01-29,ATM Çekimi,149.65,ATM,ATM Çekimi
2024-01-21,Alışveriş,61.7,ATM,ATM Çekimi
2024-01-09,Alışveriş,378.2,Fatura Ödemesi,Su
2024-01-24,Alışveriş,233.52,ATM,ATM Çekimi
2024-01-24,Alışveriş,438.2,ATM,ATM Çekimi
2024-01-09,Ulaşım,305.26,Restoran,Cafe
2024-01-07,Ulaşım,75.77,Fatura Ödemesi,Su
2024-01-27,ATM Çekimi,354.11,Fatura Ödemesi,Elektrik
2024-01-18,Alışveriş,88.28,ATM,ATM Çekimi
2024-01-07,Restoran,337.58,Market,Migros
2024-01-23,Restoran,322.96,Market,BIM
2024-01-28,Fatura Ödemesi,453.4,ATM,ATM Çekimi
2024-01-24,ATM Çekimi,450.22,Restoran,Cafe
2024-01-06,ATM Çekimi,86.35,ATM,ATM Çekimi
2024-01-12,ATM Çekimi,371.51,Fatura Ödemesi,Su
2024-01-09,Fatura Ödemesi,45.23,Ulaşım,Otobüs
2024-01-26,Fatura Ödemesi,295.84,Ulaşım,Tren
2024-01-26,Fatura Ödemesi,376.15,Market,Migros
2024-01-16,Fatura Ödemesi,426.38,Fatura Ödemesi,Su
2024-01-22,ATM Çekimi,332.26,Restoran,Cafe
2024-01-22,Restoran,12.06,ATM,ATM Çekimi
2024-01-18,Restoran,95.49,Fatura Ödemesi,Su
2024-01-15,Fatura Ödemesi,167.77,Restoran,Kebapçı
2024-01-11,ATM Çekimi,284.59,Fatura Ödemesi,İnternet
2024-01-09,Ulaşım,92.12,Market,BIM
2024-01-31,Restoran,166.39,Fatura Ödemesi,İnternet
2024-01-14,Alışveriş,337.13,ATM,ATM Çekimi
2024-01-17,Ulaşım,374.77,Market,Migros
2024-01-20,Fatura Ödemesi,227.66,Restoran,Kebapçı
2024-01-11,Ulaşım,311.89,Market,Carrefour
2024-01-22,Fatura Ödemesi,66.45,Restoran,Kebapçı
2024-01-02,Restoran,15.84,Fatura Ödemesi,Elektrik
2024-01-27,Restoran,139.46,Market,BIM
2024-01-02,Alışveriş,156.97,Ulaşım,Taksi
2024-01-14,Restoran,418.28,ATM,ATM Çekimi
2024-01-25,Alışveriş,148.0,Market,Migros
2024-01-13,Restoran,196.79,Market,Migros
2024-01-20,Alışveriş,250.49,Ulaşım,Taksi
2024-01-28,Restoran,281.34,Fatura Ödemesi,Elektrik
2024-01-11,Alışveriş,189.45,Restoran,Cafe
2024-01-13,Fatura Ödemesi,388.22,Ulaşım,Taksi
2024-01-01,Alışveriş,462.06,ATM,ATM Çekimi
2024-01-08,Alışveriş,496.77,Market,Carrefour
2024-01-01,ATM Çekimi,84.67,Restoran,Cafe
2024-01-03,Restoran,249.94,Fatura Ödemesi,İnternet
2024-01-24,Fatura Ödemesi,384.24,ATM,ATM Çekimi
2024-01-01,Alışveriş,490.01,Restoran,Kebapçı
2024-01-02,Alışveriş,385.73,ATM,ATM Çekimi
2024-01-31,ATM Çekimi,311.68,Market,BIM
2024-01-31,Restoran,336.14,ATM,ATM Çekimi
2024-01-16,ATM Çekimi,92.74,ATM,ATM Çekimi
2024-01-27,Restoran,298.93,Restoran,Kebapçı
2024-01-18,Ulaşım,314.91,Fatura Ödemesi,Elektrik
2024-01-23,Ulaşım,11.1,ATM,ATM Çekimi
2024-01-06,ATM Çekimi,120.51,Restoran,Pizza
2024-01-12,Alışveriş,95.49,ATM,ATM Çekimi
2024-01-25,Restoran,137.23,ATM,ATM Çekimi
2024-01-01,Fatura Ödemesi,336.36,Fatura Ödemesi,Su
2024-01-04,ATM Çekimi,102.9,ATM,ATM Çekimi
2024-01-01,ATM Çekimi,271.02,Market,Migros
2024-01-14,ATM Çekimi,377.71,Market,Migros
2024-01-20,Ulaşım,245.79,Restoran,Cafe
2024-01-11,ATM Çekimi,176.13,Market,Migros
2024-01-28,Fatura Ödemesi,261.72,Market,Carrefour
2024-01-24,Fatura Ödemesi,10.88,Ulaşım,Tren
2024-01-04,Alışveriş,234.17,ATM,ATM Çekimi
2024-01-18,Restoran,59.59,Fatura Ödemesi,İnternet
2024-01-28,Alışveriş,255.09,ATM,ATM Çekimi
2024-01-07,ATM Çekimi,212.14,Ulaşım,Otobüs
